country;city;name;description;url;adress;phones;latlng;
Республика Беларусь;Минск;Гранд-Автоматикс, ООО;"Монтаж роллет, рулонных штор. системы ""Умный Дом"".";www.grandtech.by;220013, г. Минск, ул. Якуба Коласа, д. 7, пом. 2Н;+375 17 202 13 25;53.919808, 27.586265;
Республика Беларусь;Минск;АКМА групп, ООО;"Монтаж роллет, рулонных штор. Монтаж ворот. системы ""Умный дом""";www.acma.by;220113, РБ, г. Минск, ул. Восточная, д. 133, 6-й этаж, каб. 603;+375 17 202 13 25;53.941082, 27.598653;
Республика Беларусь;Минск;ЕвроРоллетСистем, ООО;Монтаж роллет, рулонных штор. Монтаж ворот;www.rollet.by;223060, РБ, Минский р-н, Могилевское шоссе 11 км;+ 375 29 345 80 03;53.911460, 27.404949;
Республика Беларусь;Минск;Терол, ООО;Монтаж роллет, рулонных штор. Монтаж ворот. Монтаж жалюзи;www.terol.by;220035, РБ, г.Минск ул.Тимирязева 65а оф.512;+375 29 367 65 55;53.923259, 27.510591;
Республика Беларусь;Минск;ПрофильСити, ОДО;Монтаж роллет, рулонных штор. Монтаж ворот. Монтаж жалюзи. Монтаж маркиз. Проектирование и монтаж электрических коммуникаций. монтаж откатных ворот, рулонных промышленных ворот, складского оборудования (доклевеллеры, докшелтеры);;г. Минск, ул. Черняховского, 3-41;+375 29 655 33 58;53.937944, 27.611768;
Республика Беларусь;Минск;АльфаДимител, ООО;Монтаж роллет, рулонных штор. Монтаж ворот. Монтаж жалюзи. Монтаж маркиз. Проектирование и монтаж электрических коммуникаций;www.electrika.by;Минский район, пос. Опытный, ул. Центральная 1б, оф. 210;+375 29 682 23 45;53.995032, 27.699417;
Республика Беларусь;Минск;Рол-Трейд, ОДО;Монтаж роллет, рулонных штор. Монтаж ворот, шлагбаумов. Ремонт роллет. Ремонт ворот;www.roltrade.by;Старовиленская, 100-1304;+375 29 752 55 86, +375 29 652 55 76;53.920110, 27.562720;
Республика Беларусь;Минск;Роллетные системы, ООО;;www.rollets.by;г. Минск, ул. Бабушкина, 76;+375 29 642 72 52;53.802671, 27.589535;
Республика Беларусь;Минск;ЭльПартнер, ООО;Монтаж роллет, рулонных штор. Монтаж ворот. Монтаж жалюзи;www.rollos.by;пер. Инструментальный, д. 5, офис 101;+375 29  618 01 66;53.927215, 27.609064;
Республика Беларусь;Минск;"ЧТУП ""ДУКРА""";;dukra.dom.by;г. Минск, пер. Инструментальный,д.5, комн.32;+ 375 44 718 38 59;53.927215, 27.609064;
